criterion,variable,region,year,reference_data,unit,level_of_concern,lower,upper
Population,Population,World,"2010, 2015, 2020, 2025","range(WDI-2025, WDI-2025-extrapol25, WDI-2025-COVIDaveraged)",dimensionless,strong,0.75,1.25
Population,Population,All Countries,"2010, 2015, 2020, 2025","range(WDI-2025, WDI-2025-extrapol25, WDI-2025-COVIDaveraged)",dimensionless,strong,0.65,1.35
GDP|PPP,GDP|PPP,World,"2010, 2015, 2020, 2025","range(WDI-2025, WDI-2025-extrapol25, WDI-2025-COVIDaveraged)",dimensionless,strong,0.75,1.25
GDP|PPP,GDP|PPP,All Countries,"2010, 2015, 2020, 2025","range(WDI-2025, WDI-2025-extrapol25, WDI-2025-COVIDaveraged)",dimensionless,strong,0.65,1.35
Emissions|AFOLU,Emissions|CO2|AFOLU,World,"2010, 2015, 2020","range(EDGAR-2024, FAO-2025, PRIMAP-2020-HISTCR, PRIMAP-2020-HISTTP, OSCAR-GCB-2023, Gasser-2020, GCB-2023)",dimensionless,strong,0.8,1.2
Emissions|AFOLU,Emissions|CO2|AFOLU,World,2025,"range(EDGAR-2024-extrapol25, FAO-2025-extrapol25, PRIMAP-2020-HISTCR-extrapol25, PRIMAP-2020-HISTTP-extrapol25, OSCAR-GCB-2023-extrapol25, Gasser-2020-extrapol25, GCB-2023-extrapol25)",dimensionless,strong,0.7,1.3
Emissions|AFOLU,"Emissions|CH4|AFOLU|Agriculture, Emissions|N2O|AFOLU|Agriculture","World, All Countries","2010, 2015, 2020","range(EDGAR-2024, FAO-2025, PRIMAP-2020-HISTCR, PRIMAP-2020-HISTTP)",dimensionless,strong,0.8,1.2
Emissions|AFOLU,"Emissions|CH4|AFOLU|Agriculture, Emissions|N2O|AFOLU|Agriculture","World, All Countries",2025,"range(EDGAR-2024-extrapol25, FAO-2025-extrapol25, PRIMAP-2020-HISTCR-extrapol25, PRIMAP-2020-HISTTP-extrapol25)",dimensionless,strong,0.7,1.3
Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy and Industrial Processes,World,"2010, 2015, 2020, 2025","range(CEDS-2025, CEDS-2025-extrapol25,CEDS-2025-COVIDaveraged)",dimensionless,strong,0.75,1.25
Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy and Industrial Processes,All Countries,"2010, 2015, 2020, 2025","range(CEDS-2025, CEDS-2025-extrapol25,CEDS-2025-COVIDaveraged)",dimensionless,strong,0.65,1.35
Cropland Yields,Yield|Cropland|Cereals,"World, All Countries","2010, 2015, 2020","range(FAO-2025, FAO-2025-extrapol25)",dimensionless,strong,0.8,1.2
Cropland Yields,Yield|Cropland|Cereals,"World, All Countries",2025,"range(FAO-2025, FAO-2025-extrapol25)",dimensionless,strong,0.7,1.3
Food Availability,Food Availability [per capita],"World, All Countries","2010, 2015, 2020","range(FAO-2025, FAO-2025-extrapol25)",dimensionless,strong,0.8,1.2
Food Availability,Food Availability [per capita],"World, All Countries",2025,"range(FAO-2025, FAO-2025-extrapol25)",dimensionless,strong,0.7,1.3
Land Cover,Land Cover,"World, All Countries","2010, 2015, 2020","range(LUH2-2020, LUH2-GCB-2025, LUH3, FAO-2025)",dimensionless,strong,0.9,1.1
Land Cover,Land Cover,"World, All Countries",2025,"range(LUH2-2020-extrapol25, LUH2-GCB-2025-extrapol25, LUH3-extrapol25, FAO-2025-extrapol25)",dimensionless,strong,0.8,1.2
Land Cover,Land Cover|Cropland,"World, All Countries","2010, 2015, 2020","range(LUH2-2020, LUH2-GCB-2025, LUH3, FAO-2025)",dimensionless,strong,0.8,1.2
Land Cover,Land Cover|Cropland,"World, All Countries",2025,"range(LUH2-2020-extrapol25, LUH2-GCB-2025-extrapol25, LUH3-extrapol25, FAO-2025-extrapol25)",dimensionless,strong,0.7,1.3
Primary Energy,"Primary Energy|Coal, Primary Energy|Oil, Primary Energy|Gas",World,"2010, 2015, 2020, 2025","range(IEA-EB-2024, IEA-EB-2024-extrapol25,IEA-EB-2024-COVIDaveraged,BP,BP-extrapol25)",dimensionless,strong,0.75,1.25
Primary Energy,"Primary Energy|Coal, Primary Energy|Oil, Primary Energy|Gas",All Countries,"2010, 2015, 2020, 2025","range(IEA-EB-2024, IEA-EB-2024-extrapol25,IEA-EB-2024-COVIDaveraged)",dimensionless,strong,0.65,1.35
Final Energy,Final Energy,World,"2010, 2015, 2020, 2025","range(IEA-EB-2024, IEA-EB-2024-extrapol25,IEA-EB-2024-COVIDaveraged,BP,BP-extrapol25)",dimensionless,strong,0.75,1.25
Final Energy,Final Energy,All Countries,"2010, 2015, 2020, 2025","range(IEA-EB-2024, IEA-EB-2024-extrapol25,IEA-EB-2024-COVIDaveraged)",dimensionless,strong,0.65,1.35
