source,variable,period,region,unit,value
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ABW,Mt CO2/yr,1.9102
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,AFG,Mt CO2/yr,8.3833
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,AGO,Mt CO2/yr,23.2652
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,AIA,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ALA,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ALB,Mt CO2/yr,5.9142
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,AND,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ARE,Mt CO2/yr,165.2886
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ARG,Mt CO2/yr,166.4814
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ARM,Mt CO2/yr,3.8103
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ASM,Mt CO2/yr,1.3289
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ATA,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ATF,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ATG,Mt CO2/yr,1.2996
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,AUS,Mt CO2/yr,390.7274
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,AUT,Mt CO2/yr,75.8413
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,AZE,Mt CO2/yr,25.0785
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BDI,Mt CO2/yr,1.3537
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BEL,Mt CO2/yr,112.0722
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BEN,Mt CO2/yr,5.9265
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BES,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BFA,Mt CO2/yr,3.0899
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BGD,Mt CO2/yr,52.2478
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BGR,Mt CO2/yr,47.0629
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BHR,Mt CO2/yr,27.5736
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BHS,Mt CO2/yr,1.9156
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BIH,Mt CO2/yr,22.4085
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BLM,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BLR,Mt CO2/yr,62.325
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,BLZ,Mt CO2/yr,1.3075
