variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2025,ABW,Mt CH4/yr,5.2184802141272e-05
Emissions|CH4|AFOLU|Agriculture,2025,AFG,Mt CH4/yr,0.434007072798877
Emissions|CH4|AFOLU|Agriculture,2025,AGO,Mt CH4/yr,0.264214010560209
Emissions|CH4|AFOLU|Agriculture,2025,ALB,Mt CH4/yr,0.043902689762768
Emissions|CH4|AFOLU|Agriculture,2025,ANT,Mt CH4/yr,0.0001647961803105
Emissions|CH4|AFOLU|Agriculture,2025,ARE,Mt CH4/yr,0.058424173618148
Emissions|CH4|AFOLU|Agriculture,2025,ARG,Mt CH4/yr,3.68545694886617
Emissions|CH4|AFOLU|Agriculture,2025,ARM,Mt CH4/yr,0.049530883381449
Emissions|CH4|AFOLU|Agriculture,2025,ASM,Mt CH4/yr,0.0001441040814254
Emissions|CH4|AFOLU|Agriculture,2025,ATG,Mt CH4/yr,0.0003645319563404
Emissions|CH4|AFOLU|Agriculture,2025,AUS,Mt CH4/yr,2.69771103159309
Emissions|CH4|AFOLU|Agriculture,2025,AUT,Mt CH4/yr,0.189164322728259
Emissions|CH4|AFOLU|Agriculture,2025,AZE,Mt CH4/yr,0.264909518229851
Emissions|CH4|AFOLU|Agriculture,2025,BDI,Mt CH4/yr,0.0766608219549885
Emissions|CH4|AFOLU|Agriculture,2025,BEL,Mt CH4/yr,0.244416792061071
Emissions|CH4|AFOLU|Agriculture,2025,BEN,Mt CH4/yr,0.133673754940557
Emissions|CH4|AFOLU|Agriculture,2025,BFA,Mt CH4/yr,0.541511485156908
Emissions|CH4|AFOLU|Agriculture,2025,BGD,Mt CH4/yr,3.78649987942102
Emissions|CH4|AFOLU|Agriculture,2025,BGR,Mt CH4/yr,0.0723687513407295
Emissions|CH4|AFOLU|Agriculture,2025,BHR,Mt CH4/yr,0.0009954058293455
Emissions|CH4|AFOLU|Agriculture,2025,BHS,Mt CH4/yr,0.0002197195013447
Emissions|CH4|AFOLU|Agriculture,2025,BIH,Mt CH4/yr,0.041020410848433
Emissions|CH4|AFOLU|Agriculture,2025,BLR,Mt CH4/yr,0.433409263331751
Emissions|CH4|AFOLU|Agriculture,2025,BLZ,Mt CH4/yr,0.0077193056502496
Emissions|CH4|AFOLU|Agriculture,2025,BMU,Mt CH4/yr,7.65326798325523e-05
Emissions|CH4|AFOLU|Agriculture,2025,BOL,Mt CH4/yr,0.759012090695634
Emissions|CH4|AFOLU|Agriculture,2025,BRA,Mt CH4/yr,16.8295677751147
Emissions|CH4|AFOLU|Agriculture,2025,BRB,Mt CH4/yr,0.0011183142318553
Emissions|CH4|AFOLU|Agriculture,2025,BRN,Mt CH4/yr,0.0009399426810529
Emissions|CH4|AFOLU|Agriculture,2025,BTN,Mt CH4/yr,0.0137875727695084
Emissions|CH4|AFOLU|Agriculture,2025,BWA,Mt CH4/yr,0.0516564584592005
Emissions|CH4|AFOLU|Agriculture,2025,CAF,Mt CH4/yr,0.231090427211156
Emissions|CH4|AFOLU|Agriculture,2025,CAN,Mt CH4/yr,1.09623391895755
Emissions|CH4|AFOLU|Agriculture,2025,CHE,Mt CH4/yr,0.145538114882275
Emissions|CH4|AFOLU|Agriculture,2025,CHL,Mt CH4/yr,0.241622779444963
Emissions|CH4|AFOLU|Agriculture,2025,CHN,Mt CH4/yr,22.5451535964326
Emissions|CH4|AFOLU|Agriculture,2025,CIV,Mt CH4/yr,0.134227825087229
Emissions|CH4|AFOLU|Agriculture,2025,CMR,Mt CH4/yr,0.278450347652413
Emissions|CH4|AFOLU|Agriculture,2025,COD,Mt CH4/yr,0.34762623238352
Emissions|CH4|AFOLU|Agriculture,2025,COG,Mt CH4/yr,0.0168822163750048
Emissions|CH4|AFOLU|Agriculture,2025,COK,Mt CH4/yr,0.0001022031226578
Emissions|CH4|AFOLU|Agriculture,2025,COL,Mt CH4/yr,2.13325607043378
Emissions|CH4|AFOLU|Agriculture,2025,COM,Mt CH4/yr,0.0025905262511523
Emissions|CH4|AFOLU|Agriculture,2025,CPV,Mt CH4/yr,0.002538853645239
Emissions|CH4|AFOLU|Agriculture,2025,CRI,Mt CH4/yr,0.122052427825738
Emissions|CH4|AFOLU|Agriculture,2025,CUB,Mt CH4/yr,0.247610119344326
Emissions|CH4|AFOLU|Agriculture,2025,CYM,Mt CH4/yr,0.0001551173353426
Emissions|CH4|AFOLU|Agriculture,2025,CYP,Mt CH4/yr,0.0166866182335597
Emissions|CH4|AFOLU|Agriculture,2025,CZE,Mt CH4/yr,0.182375356969945
Emissions|CH4|AFOLU|Agriculture,2025,DEU,Mt CH4/yr,1.23195228541104
Emissions|CH4|AFOLU|Agriculture,2025,DJI,Mt CH4/yr,0.0182217310269001
Emissions|CH4|AFOLU|Agriculture,2025,DMA,Mt CH4/yr,0.0009712942108103
Emissions|CH4|AFOLU|Agriculture,2025,DNK,Mt CH4/yr,0.230907326808177
Emissions|CH4|AFOLU|Agriculture,2025,DOM,Mt CH4/yr,0.270845543994965
Emissions|CH4|AFOLU|Agriculture,2025,DZA,Mt CH4/yr,0.312383655690581
Emissions|CH4|AFOLU|Agriculture,2025,ECU,Mt CH4/yr,0.343368054707135
