variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2010,ABW,Mt CH4/yr,5.1280866455724e-05
Emissions|CH4|AFOLU|Agriculture,2010,AFG,Mt CH4/yr,0.461488931673208
Emissions|CH4|AFOLU|Agriculture,2010,AGO,Mt CH4/yr,0.220353595501175
Emissions|CH4|AFOLU|Agriculture,2010,ALB,Mt CH4/yr,0.0666706296423094
Emissions|CH4|AFOLU|Agriculture,2010,ANT,Mt CH4/yr,0.0001650863
Emissions|CH4|AFOLU|Agriculture,2010,ARE,Mt CH4/yr,0.0399206863138754
Emissions|CH4|AFOLU|Agriculture,2010,ARG,Mt CH4/yr,3.47231245830993
Emissions|CH4|AFOLU|Agriculture,2010,ARM,Mt CH4/yr,0.0489012867143714
Emissions|CH4|AFOLU|Agriculture,2010,ASM,Mt CH4/yr,0.000142757198221
Emissions|CH4|AFOLU|Agriculture,2010,ATG,Mt CH4/yr,0.0005644777323475
Emissions|CH4|AFOLU|Agriculture,2010,AUS,Mt CH4/yr,2.71393572461787
Emissions|CH4|AFOLU|Agriculture,2010,AUT,Mt CH4/yr,0.198039351523588
Emissions|CH4|AFOLU|Agriculture,2010,AZE,Mt CH4/yr,0.266119461388816
Emissions|CH4|AFOLU|Agriculture,2010,BDI,Mt CH4/yr,0.0441181903856759
Emissions|CH4|AFOLU|Agriculture,2010,BEL,Mt CH4/yr,0.264377084601742
Emissions|CH4|AFOLU|Agriculture,2010,BEN,Mt CH4/yr,0.086819763152793
Emissions|CH4|AFOLU|Agriculture,2010,BFA,Mt CH4/yr,0.418995688048036
Emissions|CH4|AFOLU|Agriculture,2010,BGD,Mt CH4/yr,3.59545129782331
Emissions|CH4|AFOLU|Agriculture,2010,BGR,Mt CH4/yr,0.0772452493037101
Emissions|CH4|AFOLU|Agriculture,2010,BHR,Mt CH4/yr,0.0008453051371953
Emissions|CH4|AFOLU|Agriculture,2010,BHS,Mt CH4/yr,0.0002129378876619
Emissions|CH4|AFOLU|Agriculture,2010,BIH,Mt CH4/yr,0.0579156166394882
Emissions|CH4|AFOLU|Agriculture,2010,BLR,Mt CH4/yr,0.401664061840466
Emissions|CH4|AFOLU|Agriculture,2010,BLZ,Mt CH4/yr,0.0069174330129799
Emissions|CH4|AFOLU|Agriculture,2010,BMU,Mt CH4/yr,7.64078663968e-05
Emissions|CH4|AFOLU|Agriculture,2010,BOL,Mt CH4/yr,0.592567484164905
Emissions|CH4|AFOLU|Agriculture,2010,BRA,Mt CH4/yr,14.7596196710156
Emissions|CH4|AFOLU|Agriculture,2010,BRB,Mt CH4/yr,0.0010291864850564
Emissions|CH4|AFOLU|Agriculture,2010,BRN,Mt CH4/yr,0.0010474374993861
Emissions|CH4|AFOLU|Agriculture,2010,BTN,Mt CH4/yr,0.0181169355728474
Emissions|CH4|AFOLU|Agriculture,2010,BWA,Mt CH4/yr,0.134081698929945
Emissions|CH4|AFOLU|Agriculture,2010,CAF,Mt CH4/yr,0.180051614264738
Emissions|CH4|AFOLU|Agriculture,2010,CAN,Mt CH4/yr,1.06649083320338
Emissions|CH4|AFOLU|Agriculture,2010,CHE,Mt CH4/yr,0.148690477402754
Emissions|CH4|AFOLU|Agriculture,2010,CHL,Mt CH4/yr,0.310152283763697
Emissions|CH4|AFOLU|Agriculture,2010,CHN,Mt CH4/yr,23.3285869506356
Emissions|CH4|AFOLU|Agriculture,2010,CIV,Mt CH4/yr,0.0957201630899022
Emissions|CH4|AFOLU|Agriculture,2010,CMR,Mt CH4/yr,0.236112767014897
Emissions|CH4|AFOLU|Agriculture,2010,COD,Mt CH4/yr,0.190733483428483
Emissions|CH4|AFOLU|Agriculture,2010,COG,Mt CH4/yr,0.0168636488493312
Emissions|CH4|AFOLU|Agriculture,2010,COK,Mt CH4/yr,0.0001408759396256
Emissions|CH4|AFOLU|Agriculture,2010,COL,Mt CH4/yr,1.91083685947247
Emissions|CH4|AFOLU|Agriculture,2010,COM,Mt CH4/yr,0.0025320269393137
Emissions|CH4|AFOLU|Agriculture,2010,CPV,Mt CH4/yr,0.0024142431045801
Emissions|CH4|AFOLU|Agriculture,2010,CRI,Mt CH4/yr,0.107029289186624
