variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2010,AFG,Mt CH4/yr,0.4601056
Emissions|CH4|AFOLU|Agriculture,2010,AGO,Mt CH4/yr,0.1856814
Emissions|CH4|AFOLU|Agriculture,2010,ALB,Mt CH4/yr,0.080322
Emissions|CH4|AFOLU|Agriculture,2010,ARE,Mt CH4/yr,0.0384747
Emissions|CH4|AFOLU|Agriculture,2010,ARG,Mt CH4/yr,3.0696583
Emissions|CH4|AFOLU|Agriculture,2010,ARM,Mt CH4/yr,0.025675
Emissions|CH4|AFOLU|Agriculture,2010,ASM,Mt CH4/yr,9.2e-06
Emissions|CH4|AFOLU|Agriculture,2010,ATG,Mt CH4/yr,0.0005856
Emissions|CH4|AFOLU|Agriculture,2010,AUS,Mt CH4/yr,2.3569323
Emissions|CH4|AFOLU|Agriculture,2010,AUT,Mt CH4/yr,0.1746733
Emissions|CH4|AFOLU|Agriculture,2010,AZE,Mt CH4/yr,0.1571399
Emissions|CH4|AFOLU|Agriculture,2010,BDI,Mt CH4/yr,0.0354866
Emissions|CH4|AFOLU|Agriculture,2010,BEL,Mt CH4/yr,0.205658
Emissions|CH4|AFOLU|Agriculture,2010,BEN,Mt CH4/yr,0.0882038
Emissions|CH4|AFOLU|Agriculture,2010,BFA,Mt CH4/yr,0.4430524
Emissions|CH4|AFOLU|Agriculture,2010,BGD,Mt CH4/yr,2.4697612
Emissions|CH4|AFOLU|Agriculture,2010,BGR,Mt CH4/yr,0.0721131
Emissions|CH4|AFOLU|Agriculture,2010,BHR,Mt CH4/yr,0.0007955
Emissions|CH4|AFOLU|Agriculture,2010,BHS,Mt CH4/yr,0.0002269
Emissions|CH4|AFOLU|Agriculture,2010,BIH,Mt CH4/yr,0.0608201
Emissions|CH4|AFOLU|Agriculture,2010,BLR,Mt CH4/yr,0.3426916
Emissions|CH4|AFOLU|Agriculture,2010,BLZ,Mt CH4/yr,0.0058381
Emissions|CH4|AFOLU|Agriculture,2010,BMU,Mt CH4/yr,0.0001236
Emissions|CH4|AFOLU|Agriculture,2010,BOL,Mt CH4/yr,0.6438799
Emissions|CH4|AFOLU|Agriculture,2010,BRA,Mt CH4/yr,12.9063075
Emissions|CH4|AFOLU|Agriculture,2010,BRB,Mt CH4/yr,0.0009351
Emissions|CH4|AFOLU|Agriculture,2010,BRN,Mt CH4/yr,0.0009206
Emissions|CH4|AFOLU|Agriculture,2010,BTN,Mt CH4/yr,0.0166298
Emissions|CH4|AFOLU|Agriculture,2010,BWA,Mt CH4/yr,0.1060645
Emissions|CH4|AFOLU|Agriculture,2010,CAF,Mt CH4/yr,0.1570647
Emissions|CH4|AFOLU|Agriculture,2010,CAN,Mt CH4/yr,0.8362458
Emissions|CH4|AFOLU|Agriculture,2010,CHE,Mt CH4/yr,0.1510677
Emissions|CH4|AFOLU|Agriculture,2010,CHL,Mt CH4/yr,0.2612675
Emissions|CH4|AFOLU|Agriculture,2010,CHN,Mt CH4/yr,12.4680892
Emissions|CH4|AFOLU|Agriculture,2010,CIV,Mt CH4/yr,0.0841248
Emissions|CH4|AFOLU|Agriculture,2010,CMR,Mt CH4/yr,0.2208616
Emissions|CH4|AFOLU|Agriculture,2010,COD,Mt CH4/yr,0.0814188
Emissions|CH4|AFOLU|Agriculture,2010,COG,Mt CH4/yr,0.01316
Emissions|CH4|AFOLU|Agriculture,2010,COK,Mt CH4/yr,2.14e-05
Emissions|CH4|AFOLU|Agriculture,2010,COL,Mt CH4/yr,1.8119714
Emissions|CH4|AFOLU|Agriculture,2010,COM,Mt CH4/yr,0.0025676
Emissions|CH4|AFOLU|Agriculture,2010,CPV,Mt CH4/yr,0.0020528
Emissions|CH4|AFOLU|Agriculture,2010,CRI,Mt CH4/yr,0.0913782
Emissions|CH4|AFOLU|Agriculture,2010,CUB,Mt CH4/yr,0.315658
Emissions|CH4|AFOLU|Agriculture,2010,CYM,Mt CH4/yr,0.0001353
Emissions|CH4|AFOLU|Agriculture,2010,CYP,Mt CH4/yr,0.0054818
Emissions|CH4|AFOLU|Agriculture,2010,CZE,Mt CH4/yr,0.1091215
Emissions|CH4|AFOLU|Agriculture,2010,DEU,Mt CH4/yr,1.161385
Emissions|CH4|AFOLU|Agriculture,2010,DJI,Mt CH4/yr,0.0184689
Emissions|CH4|AFOLU|Agriculture,2010,DMA,Mt CH4/yr,0.0009896
Emissions|CH4|AFOLU|Agriculture,2010,DNK,Mt CH4/yr,0.1459338
Emissions|CH4|AFOLU|Agriculture,2010,DOM,Mt CH4/yr,0.2365948
Emissions|CH4|AFOLU|Agriculture,2010,DZA,Mt CH4/yr,0.2318996
Emissions|CH4|AFOLU|Agriculture,2010,ECU,Mt CH4/yr,0.4199426
Emissions|CH4|AFOLU|Agriculture,2010,EGY,Mt CH4/yr,0.5952218
Emissions|CH4|AFOLU|Agriculture,2010,ERI,Mt CH4/yr,0.1101687
Emissions|CH4|AFOLU|Agriculture,2010,ESH,Mt CH4/yr,0.0062661
Emissions|CH4|AFOLU|Agriculture,2010,ESP,Mt CH4/yr,0.7120526
Emissions|CH4|AFOLU|Agriculture,2010,EST,Mt CH4/yr,0.0230497
Emissions|CH4|AFOLU|Agriculture,2010,ETH,Mt CH4/yr,2.2957753
Emissions|CH4|AFOLU|Agriculture,2010,F206,Mt CH4/yr,2.3052525
Emissions|CH4|AFOLU|Agriculture,2010,FIN,Mt CH4/yr,0.0835063
Emissions|CH4|AFOLU|Agriculture,2010,FJI,Mt CH4/yr,0.0240506
Emissions|CH4|AFOLU|Agriculture,2010,FLK,Mt CH4/yr,0.0038652
Emissions|CH4|AFOLU|Agriculture,2010,FRA,Mt CH4/yr,1.6437235
Emissions|CH4|AFOLU|Agriculture,2010,FRO,Mt CH4/yr,0.0005569
Emissions|CH4|AFOLU|Agriculture,2010,FSM,Mt CH4/yr,0.0011395
Emissions|CH4|AFOLU|Agriculture,2010,GAB,Mt CH4/yr,0.0030099
Emissions|CH4|AFOLU|Agriculture,2010,GBR,Mt CH4/yr,1.0516543
Emissions|CH4|AFOLU|Agriculture,2010,GEO,Mt CH4/yr,0.0479128
Emissions|CH4|AFOLU|Agriculture,2010,GHA,Mt CH4/yr,0.1117559
Emissions|CH4|AFOLU|Agriculture,2010,GIN,Mt CH4/yr,0.351762
Emissions|CH4|AFOLU|Agriculture,2010,GMB,Mt CH4/yr,0.0407376
Emissions|CH4|AFOLU|Agriculture,2010,GNB,Mt CH4/yr,0.0353222
Emissions|CH4|AFOLU|Agriculture,2010,GNQ,Mt CH4/yr,0.0004305
Emissions|CH4|AFOLU|Agriculture,2010,GRC,Mt CH4/yr,0.1797484
Emissions|CH4|AFOLU|Agriculture,2010,GRD,Mt CH4/yr,0.0003856
Emissions|CH4|AFOLU|Agriculture,2010,GRL,Mt CH4/yr,0.0001685
Emissions|CH4|AFOLU|Agriculture,2010,GTM,Mt CH4/yr,0.2115581
Emissions|CH4|AFOLU|Agriculture,2010,GUM,Mt CH4/yr,2.24e-05
Emissions|CH4|AFOLU|Agriculture,2010,GUY,Mt CH4/yr,0.0436766
Emissions|CH4|AFOLU|Agriculture,2010,HKG,Mt CH4/yr,0.000157
Emissions|CH4|AFOLU|Agriculture,2010,HND,Mt CH4/yr,0.1694409
Emissions|CH4|AFOLU|Agriculture,2010,HRV,Mt CH4/yr,0.0500518
Emissions|CH4|AFOLU|Agriculture,2010,HTI,Mt CH4/yr,0.1177699
Emissions|CH4|AFOLU|Agriculture,2010,HUN,Mt CH4/yr,0.0809575
Emissions|CH4|AFOLU|Agriculture,2010,IDN,Mt CH4/yr,3.4912105
Emissions|CH4|AFOLU|Agriculture,2010,IND,Mt CH4/yr,19.2913888
Emissions|CH4|AFOLU|Agriculture,2010,IRL,Mt CH4/yr,0.5386891
Emissions|CH4|AFOLU|Agriculture,2010,IRN,Mt CH4/yr,0.8615171
Emissions|CH4|AFOLU|Agriculture,2010,IRQ,Mt CH4/yr,0.1803261
Emissions|CH4|AFOLU|Agriculture,2010,ISL,Mt CH4/yr,0.0120523
Emissions|CH4|AFOLU|Agriculture,2010,ISR,Mt CH4/yr,0.0199026
Emissions|CH4|AFOLU|Agriculture,2010,ITA,Mt CH4/yr,0.7821493
Emissions|CH4|AFOLU|Agriculture,2010,JAM,Mt CH4/yr,0.0132256
Emissions|CH4|AFOLU|Agriculture,2010,JOR,Mt CH4/yr,0.0191682
Emissions|CH4|AFOLU|Agriculture,2010,JPN,Mt CH4/yr,0.5976869
Emissions|CH4|AFOLU|Agriculture,2010,KAZ,Mt CH4/yr,0.5212003
Emissions|CH4|AFOLU|Agriculture,2010,KEN,Mt CH4/yr,1.0357708
