variable,year,region,unit,value
Land Cover,2025,AFG,million ha,64.2392697403903
Land Cover,2025,AGO,million ha,124.850120631332
Land Cover,2025,ALB,million ha,2.82024204191823
Land Cover,2025,ARE,million ha,7.09205969656144
Land Cover,2025,ARG,million ha,278.354631798298
Land Cover,2025,ARM,million ha,2.95594356906232
Land Cover,2025,ATG,million ha,0.041020797772665
Land Cover,2025,AUS,million ha,769.564096346731
Land Cover,2025,AUT,million ha,8.37613007240773
Land Cover,2025,AZE,million ha,8.56122013679014
Land Cover,2025,BDI,million ha,2.71509970314416
Land Cover,2025,BEL,million ha,3.04957102065854
Land Cover,2025,BEN,million ha,11.6403040655482
Land Cover,2025,BFA,million ha,27.3848222162309
Land Cover,2025,BGD,million ha,13.6619854018249
Land Cover,2025,BGR,million ha,11.2546145805605
Land Cover,2025,BHR,million ha,0.0563517930895692
Land Cover,2025,BHS,million ha,1.1674314142906
Land Cover,2025,BIH,million ha,5.17102301245245
Land Cover,2025,BLR,million ha,20.6622561136243
Land Cover,2025,BLZ,million ha,2.21298469785998
Land Cover,2025,BOL,million ha,109.042767047496
Land Cover,2025,BRA,million ha,850.302482167778
Land Cover,2025,BRB,million ha,0.0423245168370267
Land Cover,2025,BTN,million ha,4.04174506353846
Land Cover,2025,BWA,million ha,58.048831931615
Land Cover,2025,CAF,million ha,62.0617736802089
Land Cover,2025,CAN,million ha,985.886008167581
Land Cover,2025,CHE,million ha,4.13495414404486
Land Cover,2025,CHL,million ha,72.7492275215061
Land Cover,2025,CHN,million ha,937.64934219181
Land Cover,2025,CIV,million ha,32.1867973263055
Land Cover,2025,CMR,million ha,46.6168135417537
Land Cover,2025,COD,million ha,233.541522869419
Land Cover,2025,COG,million ha,34.6458868893806
Land Cover,2025,COL,million ha,113.884450953616
Land Cover,2025,COM,million ha,0.15665092022756
Land Cover,2025,CRI,million ha,5.11071561345305
Land Cover,2025,CYP,million ha,0.889987947174142
Land Cover,2025,CZE,million ha,7.84773461089597
Land Cover,2025,DEU,million ha,35.5989903132741
Land Cover,2025,DJI,million ha,2.1843939859204
Land Cover,2025,DNK,million ha,4.19051637651245
Land Cover,2025,DOM,million ha,4.83626732703298
Land Cover,2025,DZA,million ha,231.20304452153
Land Cover,2025,ECU,million ha,25.5382482978276
Land Cover,2025,EGY,million ha,100.235711049654
Land Cover,2025,ESP,million ha,50.569087456162
Land Cover,2025,EST,million ha,4.50080826430696
Land Cover,2025,ETH,million ha,113.208566228966
Land Cover,2025,FIN,million ha,33.0032765698426
Land Cover,2025,FJI,million ha,1.7343235032307
Land Cover,2025,FRA,million ha,63.2470869829791
Land Cover,2025,GAB,million ha,26.0745561377165
Land Cover,2025,GBR,million ha,24.2158232012535
Land Cover,2025,GEO,million ha,6.9337532157696
Land Cover,2025,GHA,million ha,23.9106180679819
Land Cover,2025,GIN,million ha,24.5210795218153
Land Cover,2025,GMB,million ha,1.04163009168671
Land Cover,2025,GNB,million ha,3.27107010117631
