variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2025,ABW,Mt CH4/yr,5.2055393e-05
Emissions|CH4|AFOLU|Agriculture,2025,AFG,Mt CH4/yr,0.614039401
Emissions|CH4|AFOLU|Agriculture,2025,AGO,Mt CH4/yr,0.6800395
Emissions|CH4|AFOLU|Agriculture,2025,ALB,Mt CH4/yr,0.053765969321
Emissions|CH4|AFOLU|Agriculture,2025,AND,Mt CH4/yr,0.00017779201
Emissions|CH4|AFOLU|Agriculture,2025,ANT,Mt CH4/yr,0.00016463647
Emissions|CH4|AFOLU|Agriculture,2025,ARE,Mt CH4/yr,0.068041107
Emissions|CH4|AFOLU|Agriculture,2025,ARG,Mt CH4/yr,2.807461759
Emissions|CH4|AFOLU|Agriculture,2025,ARM,Mt CH4/yr,0.04201678177
Emissions|CH4|AFOLU|Agriculture,2025,ATG,Mt CH4/yr,0.00044181501
Emissions|CH4|AFOLU|Agriculture,2025,AUS,Mt CH4/yr,2.20879753
Emissions|CH4|AFOLU|Agriculture,2025,AUT,Mt CH4/yr,0.17554065
Emissions|CH4|AFOLU|Agriculture,2025,AZE,Mt CH4/yr,0.2016021709
Emissions|CH4|AFOLU|Agriculture,2025,BDI,Mt CH4/yr,0.0593897317
Emissions|CH4|AFOLU|Agriculture,2025,BEL,Mt CH4/yr,0.20389498
Emissions|CH4|AFOLU|Agriculture,2025,BEN,Mt CH4/yr,0.1322276
Emissions|CH4|AFOLU|Agriculture,2025,BFA,Mt CH4/yr,0.4977400185
Emissions|CH4|AFOLU|Agriculture,2025,BGD,Mt CH4/yr,1.85916419
Emissions|CH4|AFOLU|Agriculture,2025,BGR,Mt CH4/yr,0.0775077471
Emissions|CH4|AFOLU|Agriculture,2025,BHR,Mt CH4/yr,0.0009463076269086
Emissions|CH4|AFOLU|Agriculture,2025,BHS,Mt CH4/yr,8.0133556e-05
Emissions|CH4|AFOLU|Agriculture,2025,BIH,Mt CH4/yr,0.034779432
Emissions|CH4|AFOLU|Agriculture,2025,BLR,Mt CH4/yr,0.35080919
Emissions|CH4|AFOLU|Agriculture,2025,BLZ,Mt CH4/yr,0.00647292241
Emissions|CH4|AFOLU|Agriculture,2025,BOL,Mt CH4/yr,0.811349016
Emissions|CH4|AFOLU|Agriculture,2025,BRA,Mt CH4/yr,15.75389839
Emissions|CH4|AFOLU|Agriculture,2025,BRB,Mt CH4/yr,0.00063207718
Emissions|CH4|AFOLU|Agriculture,2025,BRN,Mt CH4/yr,0.0005354561
Emissions|CH4|AFOLU|Agriculture,2025,BTN,Mt CH4/yr,0.0145903698
Emissions|CH4|AFOLU|Agriculture,2025,BWA,Mt CH4/yr,0.229494901
Emissions|CH4|AFOLU|Agriculture,2025,CAF,Mt CH4/yr,0.398679
Emissions|CH4|AFOLU|Agriculture,2025,CAN,Mt CH4/yr,1.1238294939
Emissions|CH4|AFOLU|Agriculture,2025,CHE,Mt CH4/yr,0.1511631
Emissions|CH4|AFOLU|Agriculture,2025,CHL,Mt CH4/yr,0.2017697375
Emissions|CH4|AFOLU|Agriculture,2025,CHN,Mt CH4/yr,24.1905742
Emissions|CH4|AFOLU|Agriculture,2025,CIV,Mt CH4/yr,0.174480636
Emissions|CH4|AFOLU|Agriculture,2025,CMR,Mt CH4/yr,0.2981972
Emissions|CH4|AFOLU|Agriculture,2025,COD,Mt CH4/yr,1.508110692
Emissions|CH4|AFOLU|Agriculture,2025,COG,Mt CH4/yr,0.0600152
Emissions|CH4|AFOLU|Agriculture,2025,COK,Mt CH4/yr,0.000381212395241
Emissions|CH4|AFOLU|Agriculture,2025,COL,Mt CH4/yr,1.694445312
Emissions|CH4|AFOLU|Agriculture,2025,COM,Mt CH4/yr,0.0026665
Emissions|CH4|AFOLU|Agriculture,2025,CPV,Mt CH4/yr,0.0027348458
Emissions|CH4|AFOLU|Agriculture,2025,CRI,Mt CH4/yr,0.108916366
Emissions|CH4|AFOLU|Agriculture,2025,CUB,Mt CH4/yr,0.169597344
Emissions|CH4|AFOLU|Agriculture,2025,CYP,Mt CH4/yr,0.01472193279
Emissions|CH4|AFOLU|Agriculture,2025,CZE,Mt CH4/yr,0.14485159
Emissions|CH4|AFOLU|Agriculture,2025,DEU,Mt CH4/yr,1.218727731
Emissions|CH4|AFOLU|Agriculture,2025,DJI,Mt CH4/yr,0.010931148
Emissions|CH4|AFOLU|Agriculture,2025,DMA,Mt CH4/yr,0.00096908366
Emissions|CH4|AFOLU|Agriculture,2025,DNK,Mt CH4/yr,0.25210505988
Emissions|CH4|AFOLU|Agriculture,2025,DOM,Mt CH4/yr,0.217315661
Emissions|CH4|AFOLU|Agriculture,2025,DZA,Mt CH4/yr,0.2518280149
Emissions|CH4|AFOLU|Agriculture,2025,ECU,Mt CH4/yr,0.322314697
Emissions|CH4|AFOLU|Agriculture,2025,EGY,Mt CH4/yr,0.56386966
Emissions|CH4|AFOLU|Agriculture,2025,ERI,Mt CH4/yr,0.14878942
Emissions|CH4|AFOLU|Agriculture,2025,ESP,Mt CH4/yr,0.955599225
Emissions|CH4|AFOLU|Agriculture,2025,EST,Mt CH4/yr,0.028368876
