variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2010,ABW,Mt CH4/yr,5.1280866e-05
Emissions|CH4|AFOLU|Agriculture,2010,AFG,Mt CH4/yr,0.590964
Emissions|CH4|AFOLU|Agriculture,2010,AGO,Mt CH4/yr,0.6939584
Emissions|CH4|AFOLU|Agriculture,2010,ALB,Mt CH4/yr,0.067270626
Emissions|CH4|AFOLU|Agriculture,2010,AND,Mt CH4/yr,0.000206
Emissions|CH4|AFOLU|Agriculture,2010,ANT,Mt CH4/yr,0.0001650863
Emissions|CH4|AFOLU|Agriculture,2010,ARE,Mt CH4/yr,0.05239364
Emissions|CH4|AFOLU|Agriculture,2010,ARG,Mt CH4/yr,2.736404726
Emissions|CH4|AFOLU|Agriculture,2010,ARM,Mt CH4/yr,0.044263
Emissions|CH4|AFOLU|Agriculture,2010,ATG,Mt CH4/yr,0.00032174714
Emissions|CH4|AFOLU|Agriculture,2010,AUS,Mt CH4/yr,2.2199203091
Emissions|CH4|AFOLU|Agriculture,2010,AUT,Mt CH4/yr,0.179268026709
Emissions|CH4|AFOLU|Agriculture,2010,AZE,Mt CH4/yr,0.19614377393
Emissions|CH4|AFOLU|Agriculture,2010,BDI,Mt CH4/yr,0.0410515
Emissions|CH4|AFOLU|Agriculture,2010,BEL,Mt CH4/yr,0.21101772
Emissions|CH4|AFOLU|Agriculture,2010,BEN,Mt CH4/yr,0.1014364
Emissions|CH4|AFOLU|Agriculture,2010,BFA,Mt CH4/yr,0.39767
Emissions|CH4|AFOLU|Agriculture,2010,BGD,Mt CH4/yr,1.68443343
Emissions|CH4|AFOLU|Agriculture,2010,BGR,Mt CH4/yr,0.0787791715
Emissions|CH4|AFOLU|Agriculture,2010,BHR,Mt CH4/yr,0.000795511137195
Emissions|CH4|AFOLU|Agriculture,2010,BHS,Mt CH4/yr,7.5e-05
Emissions|CH4|AFOLU|Agriculture,2010,BIH,Mt CH4/yr,0.044783639
Emissions|CH4|AFOLU|Agriculture,2010,BLR,Mt CH4/yr,0.33858422
Emissions|CH4|AFOLU|Agriculture,2010,BLZ,Mt CH4/yr,0.00608040043
Emissions|CH4|AFOLU|Agriculture,2010,BOL,Mt CH4/yr,0.70718816
Emissions|CH4|AFOLU|Agriculture,2010,BRA,Mt CH4/yr,14.40650005
Emissions|CH4|AFOLU|Agriculture,2010,BRB,Mt CH4/yr,0.0005845233
Emissions|CH4|AFOLU|Agriculture,2010,BRN,Mt CH4/yr,0.000486961988
Emissions|CH4|AFOLU|Agriculture,2010,BTN,Mt CH4/yr,0.0186131068
Emissions|CH4|AFOLU|Agriculture,2010,BWA,Mt CH4/yr,0.3810095
Emissions|CH4|AFOLU|Agriculture,2010,CAF,Mt CH4/yr,0.3937436
Emissions|CH4|AFOLU|Agriculture,2010,CAN,Mt CH4/yr,1.1550791747
Emissions|CH4|AFOLU|Agriculture,2010,CHE,Mt CH4/yr,0.15889498
Emissions|CH4|AFOLU|Agriculture,2010,CHL,Mt CH4/yr,0.2522207284
Emissions|CH4|AFOLU|Agriculture,2010,CHN,Mt CH4/yr,22.413
Emissions|CH4|AFOLU|Agriculture,2010,CIV,Mt CH4/yr,0.138294337
Emissions|CH4|AFOLU|Agriculture,2010,CMR,Mt CH4/yr,0.271065
Emissions|CH4|AFOLU|Agriculture,2010,COD,Mt CH4/yr,1.443646292
Emissions|CH4|AFOLU|Agriculture,2010,COG,Mt CH4/yr,0.0571101
Emissions|CH4|AFOLU|Agriculture,2010,COK,Mt CH4/yr,0.00050785541051
Emissions|CH4|AFOLU|Agriculture,2010,COL,Mt CH4/yr,1.394192115
Emissions|CH4|AFOLU|Agriculture,2010,COM,Mt CH4/yr,0.0025757
Emissions|CH4|AFOLU|Agriculture,2010,CPV,Mt CH4/yr,0.0024602
Emissions|CH4|AFOLU|Agriculture,2010,CRI,Mt CH4/yr,0.104302
Emissions|CH4|AFOLU|Agriculture,2010,CUB,Mt CH4/yr,0.221381208
Emissions|CH4|AFOLU|Agriculture,2010,CYP,Mt CH4/yr,0.01386818736
Emissions|CH4|AFOLU|Agriculture,2010,CZE,Mt CH4/yr,0.13659257
Emissions|CH4|AFOLU|Agriculture,2010,DEU,Mt CH4/yr,1.296895008
Emissions|CH4|AFOLU|Agriculture,2010,DJI,Mt CH4/yr,0.010796
Emissions|CH4|AFOLU|Agriculture,2010,DMA,Mt CH4/yr,0.0009998
Emissions|CH4|AFOLU|Agriculture,2010,DNK,Mt CH4/yr,0.262109224204
Emissions|CH4|AFOLU|Agriculture,2010,DOM,Mt CH4/yr,0.22091
Emissions|CH4|AFOLU|Agriculture,2010,DZA,Mt CH4/yr,0.3014827895
Emissions|CH4|AFOLU|Agriculture,2010,ECU,Mt CH4/yr,0.43323442
Emissions|CH4|AFOLU|Agriculture,2010,EGY,Mt CH4/yr,0.70175036
Emissions|CH4|AFOLU|Agriculture,2010,ERI,Mt CH4/yr,0.13486165
Emissions|CH4|AFOLU|Agriculture,2010,ESP,Mt CH4/yr,0.898761756
Emissions|CH4|AFOLU|Agriculture,2010,EST,Mt CH4/yr,0.025951768
Emissions|CH4|AFOLU|Agriculture,2010,ETH,Mt CH4/yr,2.159345795
Emissions|CH4|AFOLU|Agriculture,2010,FIN,Mt CH4/yr,0.09712665368
Emissions|CH4|AFOLU|Agriculture,2010,FJI,Mt CH4/yr,0.01461
Emissions|CH4|AFOLU|Agriculture,2010,FRA,Mt CH4/yr,1.6802146226
Emissions|CH4|AFOLU|Agriculture,2010,FSM,Mt CH4/yr,0.0016377
Emissions|CH4|AFOLU|Agriculture,2010,GAB,Mt CH4/yr,0.0170476188
Emissions|CH4|AFOLU|Agriculture,2010,GBR,Mt CH4/yr,1.0097816913
Emissions|CH4|AFOLU|Agriculture,2010,GEO,Mt CH4/yr,0.06162
Emissions|CH4|AFOLU|Agriculture,2010,GHA,Mt CH4/yr,0.125634654
Emissions|CH4|AFOLU|Agriculture,2010,GIN,Mt CH4/yr,0.187617
Emissions|CH4|AFOLU|Agriculture,2010,GMB,Mt CH4/yr,0.0423823
Emissions|CH4|AFOLU|Agriculture,2010,GNB,Mt CH4/yr,0.0154624547
Emissions|CH4|AFOLU|Agriculture,2010,GNQ,Mt CH4/yr,0.0004432
Emissions|CH4|AFOLU|Agriculture,2010,GRC,Mt CH4/yr,0.2000889538
Emissions|CH4|AFOLU|Agriculture,2010,GRD,Mt CH4/yr,0.000491
Emissions|CH4|AFOLU|Agriculture,2010,GTM,Mt CH4/yr,0.1711000003
Emissions|CH4|AFOLU|Agriculture,2010,GUY,Mt CH4/yr,0.041745433
