variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2025,ABW,Mt CH4/yr,5.2055393e-05
Emissions|CH4|AFOLU|Agriculture,2025,AFG,Mt CH4/yr,0.4374503
Emissions|CH4|AFOLU|Agriculture,2025,AGO,Mt CH4/yr,0.6800395
Emissions|CH4|AFOLU|Agriculture,2025,ALB,Mt CH4/yr,0.0577455
Emissions|CH4|AFOLU|Agriculture,2025,AND,Mt CH4/yr,0.0018445475147
Emissions|CH4|AFOLU|Agriculture,2025,ANT,Mt CH4/yr,0.00016463647
Emissions|CH4|AFOLU|Agriculture,2025,ARE,Mt CH4/yr,0.0558886
Emissions|CH4|AFOLU|Agriculture,2025,ARG,Mt CH4/yr,3.4022139
Emissions|CH4|AFOLU|Agriculture,2025,ARM,Mt CH4/yr,0.026433
Emissions|CH4|AFOLU|Agriculture,2025,ATG,Mt CH4/yr,0.0004254
Emissions|CH4|AFOLU|Agriculture,2025,AUS,Mt CH4/yr,2.8297684
Emissions|CH4|AFOLU|Agriculture,2025,AUT,Mt CH4/yr,0.1873331
Emissions|CH4|AFOLU|Agriculture,2025,AZE,Mt CH4/yr,0.1507618
Emissions|CH4|AFOLU|Agriculture,2025,BDI,Mt CH4/yr,0.0624459
Emissions|CH4|AFOLU|Agriculture,2025,BEL,Mt CH4/yr,0.2356267
Emissions|CH4|AFOLU|Agriculture,2025,BEN,Mt CH4/yr,0.1322276
Emissions|CH4|AFOLU|Agriculture,2025,BFA,Mt CH4/yr,0.590046
Emissions|CH4|AFOLU|Agriculture,2025,BGD,Mt CH4/yr,2.6122604
Emissions|CH4|AFOLU|Agriculture,2025,BGR,Mt CH4/yr,0.0698751
Emissions|CH4|AFOLU|Agriculture,2025,BHR,Mt CH4/yr,0.0009463076269086
Emissions|CH4|AFOLU|Agriculture,2025,BHS,Mt CH4/yr,0.0002629
Emissions|CH4|AFOLU|Agriculture,2025,BIH,Mt CH4/yr,0.0501761
Emissions|CH4|AFOLU|Agriculture,2025,BLR,Mt CH4/yr,0.359159
Emissions|CH4|AFOLU|Agriculture,2025,BLZ,Mt CH4/yr,0.0067337
Emissions|CH4|AFOLU|Agriculture,2025,BOL,Mt CH4/yr,0.8526655
Emissions|CH4|AFOLU|Agriculture,2025,BRA,Mt CH4/yr,14.4661625
Emissions|CH4|AFOLU|Agriculture,2025,BRB,Mt CH4/yr,0.0010912
Emissions|CH4|AFOLU|Agriculture,2025,BRN,Mt CH4/yr,0.0008391
Emissions|CH4|AFOLU|Agriculture,2025,BTN,Mt CH4/yr,0.0148148
Emissions|CH4|AFOLU|Agriculture,2025,BWA,Mt CH4/yr,0.2128283
Emissions|CH4|AFOLU|Agriculture,2025,CAF,Mt CH4/yr,0.398679
Emissions|CH4|AFOLU|Agriculture,2025,CAN,Mt CH4/yr,0.9634028
Emissions|CH4|AFOLU|Agriculture,2025,CHE,Mt CH4/yr,0.1523498
Emissions|CH4|AFOLU|Agriculture,2025,CHL,Mt CH4/yr,0.2072643
Emissions|CH4|AFOLU|Agriculture,2025,CHN,Mt CH4/yr,13.3600494
Emissions|CH4|AFOLU|Agriculture,2025,CIV,Mt CH4/yr,0.1398157
Emissions|CH4|AFOLU|Agriculture,2025,CMR,Mt CH4/yr,0.2981972
Emissions|CH4|AFOLU|Agriculture,2025,COD,Mt CH4/yr,0.5755609
Emissions|CH4|AFOLU|Agriculture,2025,COG,Mt CH4/yr,0.0600152
Emissions|CH4|AFOLU|Agriculture,2025,COK,Mt CH4/yr,0.000381212395241
Emissions|CH4|AFOLU|Agriculture,2025,COL,Mt CH4/yr,1.9965212
Emissions|CH4|AFOLU|Agriculture,2025,COM,Mt CH4/yr,0.0026665
Emissions|CH4|AFOLU|Agriculture,2025,CPV,Mt CH4/yr,0.002296
Emissions|CH4|AFOLU|Agriculture,2025,CRI,Mt CH4/yr,0.1143862
Emissions|CH4|AFOLU|Agriculture,2025,CUB,Mt CH4/yr,0.2546451
Emissions|CH4|AFOLU|Agriculture,2025,CYP,Mt CH4/yr,0.0077333
Emissions|CH4|AFOLU|Agriculture,2025,CZE,Mt CH4/yr,0.1170658
Emissions|CH4|AFOLU|Agriculture,2025,DEU,Mt CH4/yr,1.1845765
Emissions|CH4|AFOLU|Agriculture,2025,DJI,Mt CH4/yr,0.0187001
Emissions|CH4|AFOLU|Agriculture,2025,DMA,Mt CH4/yr,0.001026
Emissions|CH4|AFOLU|Agriculture,2025,DNK,Mt CH4/yr,0.2293503
Emissions|CH4|AFOLU|Agriculture,2025,DOM,Mt CH4/yr,0.2587576
Emissions|CH4|AFOLU|Agriculture,2025,DZA,Mt CH4/yr,0.2859771
Emissions|CH4|AFOLU|Agriculture,2025,ECU,Mt CH4/yr,0.3189093
Emissions|CH4|AFOLU|Agriculture,2025,EGY,Mt CH4/yr,0.4305424
Emissions|CH4|AFOLU|Agriculture,2025,ERI,Mt CH4/yr,0.1217565
Emissions|CH4|AFOLU|Agriculture,2025,ESP,Mt CH4/yr,0.9766422
Emissions|CH4|AFOLU|Agriculture,2025,EST,Mt CH4/yr,0.0250854
Emissions|CH4|AFOLU|Agriculture,2025,ETH,Mt CH4/yr,3.0441704
Emissions|CH4|AFOLU|Agriculture,2025,FIN,Mt CH4/yr,0.0816251
Emissions|CH4|AFOLU|Agriculture,2025,FJI,Mt CH4/yr,0.0118828
Emissions|CH4|AFOLU|Agriculture,2025,FRA,Mt CH4/yr,1.5254936
Emissions|CH4|AFOLU|Agriculture,2025,FSM,Mt CH4/yr,0.0019713
Emissions|CH4|AFOLU|Agriculture,2025,GAB,Mt CH4/yr,0.0095586
Emissions|CH4|AFOLU|Agriculture,2025,GBR,Mt CH4/yr,1.0860754
Emissions|CH4|AFOLU|Agriculture,2025,GEO,Mt CH4/yr,0.044544
Emissions|CH4|AFOLU|Agriculture,2025,GHA,Mt CH4/yr,0.2474737
Emissions|CH4|AFOLU|Agriculture,2025,GIN,Mt CH4/yr,0.5904121
Emissions|CH4|AFOLU|Agriculture,2025,GMB,Mt CH4/yr,0.0271378
Emissions|CH4|AFOLU|Agriculture,2025,GNB,Mt CH4/yr,0.0469377
Emissions|CH4|AFOLU|Agriculture,2025,GNQ,Mt CH4/yr,0.0004732
Emissions|CH4|AFOLU|Agriculture,2025,GRC,Mt CH4/yr,0.1461318
Emissions|CH4|AFOLU|Agriculture,2025,GRD,Mt CH4/yr,0.0004009
Emissions|CH4|AFOLU|Agriculture,2025,GTM,Mt CH4/yr,0.2674871
Emissions|CH4|AFOLU|Agriculture,2025,GUY,Mt CH4/yr,0.0495567
Emissions|CH4|AFOLU|Agriculture,2025,HKG,Mt CH4/yr,0.0008982
Emissions|CH4|AFOLU|Agriculture,2025,HND,Mt CH4/yr,0.1817697
Emissions|CH4|AFOLU|Agriculture,2025,HRV,Mt CH4/yr,0.0483666
Emissions|CH4|AFOLU|Agriculture,2025,HTI,Mt CH4/yr,0.1232591
Emissions|CH4|AFOLU|Agriculture,2025,HUN,Mt CH4/yr,0.0991612
Emissions|CH4|AFOLU|Agriculture,2025,IDN,Mt CH4/yr,3.5373477
Emissions|CH4|AFOLU|Agriculture,2025,IND,Mt CH4/yr,20.514027
Emissions|CH4|AFOLU|Agriculture,2025,IRL,Mt CH4/yr,0.5740267
Emissions|CH4|AFOLU|Agriculture,2025,IRN,Mt CH4/yr,0.7720085
Emissions|CH4|AFOLU|Agriculture,2025,IRQ,Mt CH4/yr,0.147482
Emissions|CH4|AFOLU|Agriculture,2025,ISL,Mt CH4/yr,0.0111766
Emissions|CH4|AFOLU|Agriculture,2025,ISR,Mt CH4/yr,0.0337119
Emissions|CH4|AFOLU|Agriculture,2025,ITA,Mt CH4/yr,0.8281794
Emissions|CH4|AFOLU|Agriculture,2025,JAM,Mt CH4/yr,0.0131006
Emissions|CH4|AFOLU|Agriculture,2025,JOR,Mt CH4/yr,0.023942
Emissions|CH4|AFOLU|Agriculture,2025,JPN,Mt CH4/yr,0.5753953
Emissions|CH4|AFOLU|Agriculture,2025,KAZ,Mt CH4/yr,0.736668
Emissions|CH4|AFOLU|Agriculture,2025,KEN,Mt CH4/yr,1.3704378
Emissions|CH4|AFOLU|Agriculture,2025,KGZ,Mt CH4/yr,0.1566788
Emissions|CH4|AFOLU|Agriculture,2025,KHM,Mt CH4/yr,0.7332422
Emissions|CH4|AFOLU|Agriculture,2025,KIR,Mt CH4/yr,0.000242
Emissions|CH4|AFOLU|Agriculture,2025,KNA,Mt CH4/yr,0.0005203
Emissions|CH4|AFOLU|Agriculture,2025,KOR,Mt CH4/yr,0.3941043
Emissions|CH4|AFOLU|Agriculture,2025,KWT,Mt CH4/yr,0.0080224
Emissions|CH4|AFOLU|Agriculture,2025,LAO,Mt CH4/yr,0.3031541
Emissions|CH4|AFOLU|Agriculture,2025,LBN,Mt CH4/yr,0.0099624
Emissions|CH4|AFOLU|Agriculture,2025,LBR,Mt CH4/yr,0.0093433
Emissions|CH4|AFOLU|Agriculture,2025,LBY,Mt CH4/yr,0.0664842
Emissions|CH4|AFOLU|Agriculture,2025,LCA,Mt CH4/yr,0.000832218959598
Emissions|CH4|AFOLU|Agriculture,2025,LIE,Mt CH4/yr,0.00060139448664
Emissions|CH4|AFOLU|Agriculture,2025,LKA,Mt CH4/yr,0.1883221
Emissions|CH4|AFOLU|Agriculture,2025,LSO,Mt CH4/yr,0.0249669
Emissions|CH4|AFOLU|Agriculture,2025,LTU,Mt CH4/yr,0.0645915
Emissions|CH4|AFOLU|Agriculture,2025,LUX,Mt CH4/yr,0.0166121
Emissions|CH4|AFOLU|Agriculture,2025,LVA,Mt CH4/yr,0.0388154
Emissions|CH4|AFOLU|Agriculture,2025,MAC,Mt CH4/yr,1.6e-05
Emissions|CH4|AFOLU|Agriculture,2025,MAR,Mt CH4/yr,0.3048026
Emissions|CH4|AFOLU|Agriculture,2025,MCO,Mt CH4/yr,0.0009009482637
Emissions|CH4|AFOLU|Agriculture,2025,MDA,Mt CH4/yr,0.0202126
Emissions|CH4|AFOLU|Agriculture,2025,MDG,Mt CH4/yr,0.6471461
Emissions|CH4|AFOLU|Agriculture,2025,MDV,Mt CH4/yr,1e-07
Emissions|CH4|AFOLU|Agriculture,2025,MEX,Mt CH4/yr,2.4886427
Emissions|CH4|AFOLU|Agriculture,2025,MKD,Mt CH4/yr,0.0263341
Emissions|CH4|AFOLU|Agriculture,2025,MLI,Mt CH4/yr,0.8992119
Emissions|CH4|AFOLU|Agriculture,2025,MLT,Mt CH4/yr,0.0022175
Emissions|CH4|AFOLU|Agriculture,2025,MMR,Mt CH4/yr,1.8353785
Emissions|CH4|AFOLU|Agriculture,2025,MNE,Mt CH4/yr,0.0100039
Emissions|CH4|AFOLU|Agriculture,2025,MNG,Mt CH4/yr,0.7325124
Emissions|CH4|AFOLU|Agriculture,2025,MOZ,Mt CH4/yr,0.3990476
Emissions|CH4|AFOLU|Agriculture,2025,MRT,Mt CH4/yr,0.2656659
Emissions|CH4|AFOLU|Agriculture,2025,MUS,Mt CH4/yr,0.00074
Emissions|CH4|AFOLU|Agriculture,2025,MWI,Mt CH4/yr,0.1638698
Emissions|CH4|AFOLU|Agriculture,2025,MYS,Mt CH4/yr,0.1760154
Emissions|CH4|AFOLU|Agriculture,2025,NAM,Mt CH4/yr,0.1565437
Emissions|CH4|AFOLU|Agriculture,2025,NER,Mt CH4/yr,0.9273465
Emissions|CH4|AFOLU|Agriculture,2025,NGA,Mt CH4/yr,2.0573654
Emissions|CH4|AFOLU|Agriculture,2025,NIC,Mt CH4/yr,0.3465262
Emissions|CH4|AFOLU|Agriculture,2025,NIU,Mt CH4/yr,4.68493145e-05
Emissions|CH4|AFOLU|Agriculture,2025,NLD,Mt CH4/yr,0.4579874
Emissions|CH4|AFOLU|Agriculture,2025,NOR,Mt CH4/yr,0.0990051
Emissions|CH4|AFOLU|Agriculture,2025,NPL,Mt CH4/yr,0.7994265
Emissions|CH4|AFOLU|Agriculture,2025,NRU,Mt CH4/yr,4.58e-05
Emissions|CH4|AFOLU|Agriculture,2025,NZL,Mt CH4/yr,1.0723357
Emissions|CH4|AFOLU|Agriculture,2025,OMN,Mt CH4/yr,0.0468995
Emissions|CH4|AFOLU|Agriculture,2025,PAK,Mt CH4/yr,5.8969146
Emissions|CH4|AFOLU|Agriculture,2025,PAN,Mt CH4/yr,0.0936923
Emissions|CH4|AFOLU|Agriculture,2025,PER,Mt CH4/yr,0.726268
Emissions|CH4|AFOLU|Agriculture,2025,PHL,Mt CH4/yr,2.0000858
Emissions|CH4|AFOLU|Agriculture,2025,PNG,Mt CH4/yr,0.0397024
Emissions|CH4|AFOLU|Agriculture,2025,POL,Mt CH4/yr,0.5837616
Emissions|CH4|AFOLU|Agriculture,2025,PRK,Mt CH4/yr,0.1474204
Emissions|CH4|AFOLU|Agriculture,2025,PRT,Mt CH4/yr,0.1880955
Emissions|CH4|AFOLU|Agriculture,2025,PRY,Mt CH4/yr,0.8369687
Emissions|CH4|AFOLU|Agriculture,2025,QAT,Mt CH4/yr,0.0135875
Emissions|CH4|AFOLU|Agriculture,2025,ROU,Mt CH4/yr,0.3077217
Emissions|CH4|AFOLU|Agriculture,2025,RUS,Mt CH4/yr,1.9350723
Emissions|CH4|AFOLU|Agriculture,2025,RWA,Mt CH4/yr,0.0656032
Emissions|CH4|AFOLU|Agriculture,2025,SAU,Mt CH4/yr,0.2733735
Emissions|CH4|AFOLU|Agriculture,2025,SDN,Mt CH4/yr,1.9354115
Emissions|CH4|AFOLU|Agriculture,2025,SEN,Mt CH4/yr,0.2979022
Emissions|CH4|AFOLU|Agriculture,2025,SGP,Mt CH4/yr,6.32e-05
Emissions|CH4|AFOLU|Agriculture,2025,SHN,Mt CH4/yr,3.88e-05
Emissions|CH4|AFOLU|Agriculture,2025,SLB,Mt CH4/yr,0.002269
Emissions|CH4|AFOLU|Agriculture,2025,SLE,Mt CH4/yr,0.0970478
Emissions|CH4|AFOLU|Agriculture,2025,SLV,Mt CH4/yr,0.0544546
Emissions|CH4|AFOLU|Agriculture,2025,SMR,Mt CH4/yr,0.000445749784
Emissions|CH4|AFOLU|Agriculture,2025,SOM,Mt CH4/yr,0.6387691
Emissions|CH4|AFOLU|Agriculture,2025,SRB,Mt CH4/yr,0.120835
Emissions|CH4|AFOLU|Agriculture,2025,SSD,Mt CH4/yr,0.9997596
Emissions|CH4|AFOLU|Agriculture,2025,STP,Mt CH4/yr,0.0002053
Emissions|CH4|AFOLU|Agriculture,2025,SUR,Mt CH4/yr,0.0182312
Emissions|CH4|AFOLU|Agriculture,2025,SVK,Mt CH4/yr,0.0397101
Emissions|CH4|AFOLU|Agriculture,2025,SVN,Mt CH4/yr,0.0398146
Emissions|CH4|AFOLU|Agriculture,2025,SWE,Mt CH4/yr,0.1289825
Emissions|CH4|AFOLU|Agriculture,2025,SWZ,Mt CH4/yr,0.0241137
Emissions|CH4|AFOLU|Agriculture,2025,SYC,Mt CH4/yr,7.5114795696e-05
Emissions|CH4|AFOLU|Agriculture,2025,SYR,Mt CH4/yr,0.14207086
Emissions|CH4|AFOLU|Agriculture,2025,TCD,Mt CH4/yr,2.2728987
Emissions|CH4|AFOLU|Agriculture,2025,TGO,Mt CH4/yr,0.0737485
Emissions|CH4|AFOLU|Agriculture,2025,THA,Mt CH4/yr,2.2036436
Emissions|CH4|AFOLU|Agriculture,2025,TJK,Mt CH4/yr,0.1922229
Emissions|CH4|AFOLU|Agriculture,2025,TKL,Mt CH4/yr,5.435446747e-05
Emissions|CH4|AFOLU|Agriculture,2025,TKM,Mt CH4/yr,0.2661843
Emissions|CH4|AFOLU|Agriculture,2025,TLS,Mt CH4/yr,0.0295201
Emissions|CH4|AFOLU|Agriculture,2025,TON,Mt CH4/yr,0.0023592656326
Emissions|CH4|AFOLU|Agriculture,2025,TTO,Mt CH4/yr,0.0036948
Emissions|CH4|AFOLU|Agriculture,2025,TUN,Mt CH4/yr,0.0817356
Emissions|CH4|AFOLU|Agriculture,2025,TUR,Mt CH4/yr,1.0005662
Emissions|CH4|AFOLU|Agriculture,2025,TUV,Mt CH4/yr,0.0002227
Emissions|CH4|AFOLU|Agriculture,2025,TWN,Mt CH4/yr,0.0894993
Emissions|CH4|AFOLU|Agriculture,2025,TZA,Mt CH4/yr,1.574116
Emissions|CH4|AFOLU|Agriculture,2025,UGA,Mt CH4/yr,0.6735688
Emissions|CH4|AFOLU|Agriculture,2025,UKR,Mt CH4/yr,0.3263381
Emissions|CH4|AFOLU|Agriculture,2025,URY,Mt CH4/yr,0.7533577
Emissions|CH4|AFOLU|Agriculture,2025,USA,Mt CH4/yr,7.8322598
Emissions|CH4|AFOLU|Agriculture,2025,UZB,Mt CH4/yr,0.9295665
Emissions|CH4|AFOLU|Agriculture,2025,VAT,Mt CH4/yr,6.61629192e-06
Emissions|CH4|AFOLU|Agriculture,2025,VCT,Mt CH4/yr,0.0002637
Emissions|CH4|AFOLU|Agriculture,2025,VEN,Mt CH4/yr,1.1154853
Emissions|CH4|AFOLU|Agriculture,2025,VGB,Mt CH4/yr,0.0002424
Emissions|CH4|AFOLU|Agriculture,2025,VNM,Mt CH4/yr,1.8964293
Emissions|CH4|AFOLU|Agriculture,2025,VUT,Mt CH4/yr,0.0083596
Emissions|CH4|AFOLU|Agriculture,2025,WSM,Mt CH4/yr,0.00429697637472
Emissions|CH4|AFOLU|Agriculture,2025,World,Mt CH4/yr,143.262154607771
Emissions|CH4|AFOLU|Agriculture,2025,YEM,Mt CH4/yr,0.2050782
Emissions|CH4|AFOLU|Agriculture,2025,ZAF,Mt CH4/yr,0.6170081
Emissions|CH4|AFOLU|Agriculture,2025,ZMB,Mt CH4/yr,0.4767958
Emissions|CH4|AFOLU|Agriculture,2025,ZWE,Mt CH4/yr,0.2584963
Emissions|CO2|AFOLU,2025,ABW,Mt CO2/yr,-0.0001222
Emissions|CO2|AFOLU,2025,AFG,Mt CO2/yr,0.178274515
Emissions|CO2|AFOLU,2025,AGO,Mt CO2/yr,35.485762
Emissions|CO2|AFOLU,2025,ALB,Mt CO2/yr,-0.197957014
Emissions|CO2|AFOLU,2025,AND,Mt CO2/yr,0.0023835004
Emissions|CO2|AFOLU,2025,ANT,Mt CO2/yr,-0.0001076
Emissions|CO2|AFOLU,2025,ARG,Mt CO2/yr,34.2352178
Emissions|CO2|AFOLU,2025,ARM,Mt CO2/yr,0.080978228
Emissions|CO2|AFOLU,2025,AUS,Mt CO2/yr,5.8477868
Emissions|CO2|AFOLU,2025,AUT,Mt CO2/yr,-6.884885432
Emissions|CO2|AFOLU,2025,AZE,Mt CO2/yr,-1.77967449
Emissions|CO2|AFOLU,2025,BDI,Mt CO2/yr,3.029417
Emissions|CO2|AFOLU,2025,BEL,Mt CO2/yr,0.237591854
Emissions|CO2|AFOLU,2025,BEN,Mt CO2/yr,10.710333
Emissions|CO2|AFOLU,2025,BFA,Mt CO2/yr,24.10144
Emissions|CO2|AFOLU,2025,BGD,Mt CO2/yr,19.9598977
Emissions|CO2|AFOLU,2025,BGR,Mt CO2/yr,-33.08736984
