variable,year,region,unit,value
GDP|PPP,2025,ABW,billion USD_2010/yr,3.87889824
GDP|PPP,2025,AFG,billion USD_2010/yr,71.67893592000001
GDP|PPP,2025,AGO,billion USD_2010/yr,223.825363
GDP|PPP,2025,AIA,billion USD_2010/yr,0.0
GDP|PPP,2025,ALA,billion USD_2010/yr,0.0
GDP|PPP,2025,ALB,billion USD_2010/yr,43.389102480000005
GDP|PPP,2025,AND,billion USD_2010/yr,4.9927944
GDP|PPP,2025,ARE,billion USD_2010/yr,634.0370438
GDP|PPP,2025,ARG,billion USD_2010/yr,984.149815
GDP|PPP,2025,ARM,billion USD_2010/yr,54.67805712
GDP|PPP,2025,ASM,billion USD_2010/yr,0.0
GDP|PPP,2025,ATA,billion USD_2010/yr,0.0
GDP|PPP,2025,ATF,billion USD_2010/yr,0.0
GDP|PPP,2025,ATG,billion USD_2010/yr,2.39397624
GDP|PPP,2025,AUS,billion USD_2010/yr,1350.9961350000003
GDP|PPP,2025,AUT,billion USD_2010/yr,445.1249488
GDP|PPP,2025,AZE,billion USD_2010/yr,181.9232744
GDP|PPP,2025,BDI,billion USD_2010/yr,9.844964640000002
GDP|PPP,2025,BEL,billion USD_2010/yr,580.8662849
GDP|PPP,2025,BEN,billion USD_2010/yr,48.45648408
GDP|PPP,2025,BES,billion USD_2010/yr,0.0
GDP|PPP,2025,BFA,billion USD_2010/yr,49.82006543999999
GDP|PPP,2025,BGD,billion USD_2010/yr,1292.2214219999998
GDP|PPP,2025,BGR,billion USD_2010/yr,167.12735719999998
GDP|PPP,2025,BHR,billion USD_2010/yr,78.68258304000001
GDP|PPP,2025,BHS,billion USD_2010/yr,11.46123288
GDP|PPP,2025,BIH,billion USD_2010/yr,51.87257783999999
GDP|PPP,2025,BLM,billion USD_2010/yr,0.0
GDP|PPP,2025,BLR,billion USD_2010/yr,225.4022455
GDP|PPP,2025,BLZ,billion USD_2010/yr,4.316779679999999
GDP|PPP,2025,BMU,billion USD_2010/yr,5.218920960000002
GDP|PPP,2025,BOL,billion USD_2010/yr,105.29711519999998
GDP|PPP,2025,BRA,billion USD_2010/yr,3497.1711370000003
GDP|PPP,2025,BRB,billion USD_2010/yr,4.826246639999998
GDP|PPP,2025,BRN,billion USD_2010/yr,29.87235552
GDP|PPP,2025,BTN,billion USD_2010/yr,9.05152056
GDP|PPP,2025,BVT,billion USD_2010/yr,0.0
GDP|PPP,2025,BWA,billion USD_2010/yr,40.58189496000001
GDP|PPP,2025,CAF,billion USD_2010/yr,4.904290319999999
GDP|PPP,2025,CAN,billion USD_2010/yr,1836.776839
GDP|PPP,2025,CCK,billion USD_2010/yr,0.0
GDP|PPP,2025,CHE,billion USD_2010/yr,583.6401100999998
GDP|PPP,2025,CHL,billion USD_2010/yr,461.364765
GDP|PPP,2025,CHN,billion USD_2010/yr,28311.219859999997
GDP|PPP,2025,CIV,billion USD_2010/yr,186.0639557
GDP|PPP,2025,CMR,billion USD_2010/yr,121.08104020000002
GDP|PPP,2025,COD,billion USD_2010/yr,146.97780699999998
GDP|PPP,2025,COG,billion USD_2010/yr,32.635265520000004
GDP|PPP,2025,COK,billion USD_2010/yr,0.0
GDP|PPP,2025,COL,billion USD_2010/yr,737.1781342
GDP|PPP,2025,COM,billion USD_2010/yr,2.59545264
GDP|PPP,2025,CPV,billion USD_2010/yr,4.41437976
GDP|PPP,2025,CRI,billion USD_2010/yr,118.5307946
GDP|PPP,2025,CUB,billion USD_2010/yr,0.0
GDP|PPP,2025,CUW,billion USD_2010/yr,3.804856800000001
GDP|PPP,2025,CXR,billion USD_2010/yr,0.0
GDP|PPP,2025,CYM,billion USD_2010/yr,5.09567016
GDP|PPP,2025,CYP,billion USD_2010/yr,41.435099760000014
GDP|PPP,2025,CZE,billion USD_2010/yr,394.28449400000005
GDP|PPP,2025,DEU,billion USD_2010/yr,4102.108349
GDP|PPP,2025,DJI,billion USD_2010/yr,6.844649039999998
GDP|PPP,2025,DMA,billion USD_2010/yr,1.04112816
GDP|PPP,2025,DNK,billion USD_2010/yr,341.09417849999994
GDP|PPP,2025,DOM,billion USD_2010/yr,225.600902
GDP|PPP,2025,DZA,billion USD_2010/yr,622.3131185000001
GDP|PPP,2025,ECU,billion USD_2010/yr,224.3698495
GDP|PPP,2025,EGY,billion USD_2010/yr,1690.047531
GDP|PPP,2025,ERI,billion USD_2010/yr,0.0
GDP|PPP,2025,ESH,billion USD_2010/yr,0.0
GDP|PPP,2025,ESP,billion USD_2010/yr,1924.233149
GDP|PPP,2025,EST,billion USD_2010/yr,41.89372007999999
GDP|PPP,2025,ETH,billion USD_2010/yr,327.9777464
GDP|PPP,2025,FIN,billion USD_2010/yr,235.7518561
GDP|PPP,2025,FJI,billion USD_2010/yr,11.855817359999998
GDP|PPP,2025,FLK,billion USD_2010/yr,0.0
GDP|PPP,2025,FRA,billion USD_2010/yr,2852.9741349999995
GDP|PPP,2025,FRO,billion USD_2010/yr,3.65686488
GDP|PPP,2025,FSM,billion USD_2010/yr,0.36647784
GDP|PPP,2025,GAB,billion USD_2010/yr,40.13710055999999
GDP|PPP,2025,GBR,billion USD_2010/yr,2838.175032000001
GDP|PPP,2025,GEO,billion USD_2010/yr,79.23980399999999
GDP|PPP,2025,GGY,billion USD_2010/yr,0.0
GDP|PPP,2025,GHA,billion USD_2010/yr,200.1250981
GDP|PPP,2025,GIB,billion USD_2010/yr,0.0
GDP|PPP,2025,GIN,billion USD_2010/yr,52.82374656
GDP|PPP,2025,GLP,billion USD_2010/yr,0.0
GDP|PPP,2025,GMB,billion USD_2010/yr,7.118074800000001
GDP|PPP,2025,GNB,billion USD_2010/yr,5.029906079999999
GDP|PPP,2025,GNQ,billion USD_2010/yr,21.33030192
GDP|PPP,2025,GRC,billion USD_2010/yr,327.3074624
GDP|PPP,2025,GRD,billion USD_2010/yr,1.74816024
GDP|PPP,2025,GRL,billion USD_2010/yr,3.50860008
GDP|PPP,2025,GTM,billion USD_2010/yr,197.7169321
GDP|PPP,2025,GUF,billion USD_2010/yr,0.0
GDP|PPP,2025,GUM,billion USD_2010/yr,0.0
GDP|PPP,2025,GUY,billion USD_2010/yr,50.56530072000001
GDP|PPP,2025,HKG,billion USD_2010/yr,425.8927301000001
GDP|PPP,2025,HMD,billion USD_2010/yr,0.0
GDP|PPP,2025,HND,billion USD_2010/yr,60.68387304
GDP|PPP,2025,HRV,billion USD_2010/yr,133.3086111
GDP|PPP,2025,HTI,billion USD_2010/yr,27.28372488
GDP|PPP,2025,HUN,billion USD_2010/yr,299.2684964
GDP|PPP,2025,IDN,billion USD_2010/yr,3528.9653889999995
GDP|PPP,2025,IMN,billion USD_2010/yr,0.0
GDP|PPP,2025,IND,billion USD_2010/yr,12495.69122
GDP|PPP,2025,IOT,billion USD_2010/yr,0.0
GDP|PPP,2025,IRL,billion USD_2010/yr,451.586656
GDP|PPP,2025,IRN,billion USD_2010/yr,1302.6306110000005
GDP|PPP,2025,IRQ,billion USD_2010/yr,443.7167969000001
GDP|PPP,2025,ISL,billion USD_2010/yr,22.684878240000003
GDP|PPP,2025,ISR,billion USD_2010/yr,412.77839000000006
GDP|PPP,2025,ITA,billion USD_2010/yr,2441.9197120000003
GDP|PPP,2025,JAM,billion USD_2010/yr,25.12788192
GDP|PPP,2025,JEY,billion USD_2010/yr,0.0
GDP|PPP,2025,JOR,billion USD_2010/yr,92.890626
GDP|PPP,2025,JPN,billion USD_2010/yr,4975.324804
GDP|PPP,2025,KAZ,billion USD_2010/yr,638.0148158000001
GDP|PPP,2025,KEN,billion USD_2010/yr,286.53045799999995
GDP|PPP,2025,KGZ,billion USD_2010/yr,41.81722272000001
GDP|PPP,2025,KHM,billion USD_2010/yr,105.17804856
GDP|PPP,2025,KIR,billion USD_2010/yr,0.37675632
GDP|PPP,2025,KNA,billion USD_2010/yr,1.2245035199999996
GDP|PPP,2025,KOR,billion USD_2010/yr,2219.671685
GDP|PPP,2025,KWT,billion USD_2010/yr,171.8240768
GDP|PPP,2025,LAO,billion USD_2010/yr,56.71828992
GDP|PPP,2025,LBN,billion USD_2010/yr,54.33622944
GDP|PPP,2025,LBR,billion USD_2010/yr,7.9767372
GDP|PPP,2025,LBY,billion USD_2010/yr,89.00181311999998
GDP|PPP,2025,LCA,billion USD_2010/yr,3.60829224
GDP|PPP,2025,LIE,billion USD_2010/yr,0.0
GDP|PPP,2025,LKA,billion USD_2010/yr,225.5536029
GDP|PPP,2025,LSO,billion USD_2010/yr,5.1234129600000005
GDP|PPP,2025,LTU,billion USD_2010/yr,103.1405444
GDP|PPP,2025,LUX,billion USD_2010/yr,66.45028223999998
GDP|PPP,2025,LVA,billion USD_2010/yr,58.617261840000005
GDP|PPP,2025,MAC,billion USD_2010/yr,109.09533192
GDP|PPP,2025,MAF,billion USD_2010/yr,0.0
GDP|PPP,2025,MAR,billion USD_2010/yr,298.3681745
GDP|PPP,2025,MCO,billion USD_2010/yr,0.0
GDP|PPP,2025,MDA,billion USD_2010/yr,32.622076320000005
GDP|PPP,2025,MDG,billion USD_2010/yr,45.35238312
GDP|PPP,2025,MDV,billion USD_2010/yr,10.535442
GDP|PPP,2025,MEX,billion USD_2010/yr,2546.7602059999995
GDP|PPP,2025,MHL,billion USD_2010/yr,0.19938432
