# source: IEA-EB-2025
# description: Based on {{source}}.
variable,year,region,unit,value
Final Energy,2010,World,EJ/yr,365.074
Final Energy,2015,World,EJ/yr,389.56
Final Energy,2020,World,EJ/yr,395.78
Primary Energy|Coal,2010,World,EJ/yr,153.51
Primary Energy|Coal,2015,World,EJ/yr,161.99
Primary Energy|Coal,2020,World,EJ/yr,160.0
Primary Energy|Gas,2010,World,EJ/yr,126.22
Primary Energy|Gas,2015,World,EJ/yr,138.32
Primary Energy|Gas,2020,World,EJ/yr,155.11
Primary Energy|Oil,2010,World,EJ/yr,167.72
Primary Energy|Oil,2015,World,EJ/yr,180.60
Primary Energy|Oil,2020,World,EJ/yr,173.40
Primary Energy|Nuclear,2010,World,EJ/yr,9.92
Primary Energy|Nuclear,2015,World,EJ/yr,9.25
Primary Energy|Nuclear,2020,World,EJ/yr,9.63
