criterion,variable,region,year,reference_data,unit,level_of_concern,lower,upper
Biodiversity,"Terrestrial Biodiversity|BII, Terrestrial Biodiversity|Biodiversity Intactness Index",World,2030,,%/yr,medium,-0.11,
Deforestations,Forest Area Change|Deforestation,World,2030,,million ha/yr,medium,,16
Deforestation,Forest Area Change|Deforestation|Primary,World,2030,,million ha/yr,medium,,12
Forest Expansion,Forest Area Change|Forest Expansion,World,2030,,million ha/yr,medium,,10
Forest Expansion,Forest Area Change|Forest Expansion|Planted,World,2030,,million ha/yr,medium,,5
Land Cover,Land Cover,World,2030,,million ha,strong,11554,14318
Cropland Yields,Yield|Cropland|Cereals,World,2100,,t DM/ha/yr,strong,,15.3
Hydropower Capacity,Capacity|Electricity|Hydro,Africa (R10),2030,,GW,medium,15.3,96.39
Hydropower Capacity,Capacity|Electricity|Hydro,China+ (R10),2030,,GW,medium,201.24,832.12
Hydropower Capacity,Capacity|Electricity|Hydro,Europe (R10),2030,,GW,medium,106.16,436.09
Hydropower Capacity,Capacity|Electricity|Hydro,India+ (R10),2030,,GW,medium,27.06,149.56
Hydropower Capacity,Capacity|Electricity|Hydro,Latin America (R10),2030,,GW,medium,110.94,376.29
Hydropower Capacity,Capacity|Electricity|Hydro,Middle East (R10),2030,,GW,medium,6.85,31.76
Hydropower Capacity,Capacity|Electricity|Hydro,North America (R10),2030,,GW,medium,48.84,187.67
Hydropower Capacity,Capacity|Electricity|Hydro,Pacific OECD (R10),2030,,GW,medium,65.94,259.67
Hydropower Capacity,Capacity|Electricity|Hydro,Reforming Economies (R10),2030,,GW,medium,37.74,135.95
Hydropower Capacity,Capacity|Electricity|Hydro,Rest of Asia (R10),2030,,GW,medium,32.88,189.6
Hydropower Capacity,Capacity|Electricity|Hydro,World,2030,,GW,medium,1175.37,1606.66
Hydropower Capacity,Capacity|Electricity|Hydro,World,2030,,GW,strong,979.43,2117.58
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,Africa (R10),2030,,GW,medium,0.89,8.75
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,China+ (R10),2030,,GW,medium,26.89,115.25
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,Europe (R10),2030,,GW,medium,50.51,161.01
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,India+ (R10),2030,,GW,medium,3.32,17.25
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,Latin America (R10),2030,,GW,medium,2.43,9.01
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,Middle East (R10),2030,,GW,medium,3,10.09
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,North America (R10),2030,,GW,medium,46.54,135.73
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,Pacific OECD (R10),2030,,GW,medium,11.88,38.36
